CUENTA,CARNET,FAPERTURA,TIPO_CUENTA,ESTADO_CUENTA,SALDO_ACTUAL,PLAZO_MESES,TASA_INTERES,FECHA_CIERRE
5-101-43584-3,2686541,2012-01-19,CRÉDITO,CERRADA,74540.86,6,0.071,
4-100-74393-1,2349785,2002-02-16,APORTE,CERRADA,90815.8,36,0.071,
3-109-75930-6,4099171,2004-07-19,APORTE,CERRADA,33562.43,6,0.051,
3-102-95539-1,5901851,2010-02-14,AHORRO,CERRADA,11005.82,12,0.086,
9-104-33005-3,4030107,2012-08-06,APORTE,CERRADA,52927.43,24,0.016,
2-109-86093-2,4842946,2020-07-11,APORTE,INACTIVA,79568.95,6,0.066,
6-103-66738-1,3059202,2023-11-02,APORTE,INACTIVA,92622.38,24,0.066,
7-104-35328-7,2005831,2012-06-13,APORTE,ACTIVA,65981.47,36,0.063,
5-104-28553-7,4333423,2023-04-19,AHORRO,ACTIVA,31234.59,12,0.082,
3-104-78533-2,3097880,2015-01-17,APORTE,CERRADA,9113.76,24,0.063,
7-102-78775-9,2249701,2002-09-25,AHORRO,INACTIVA,52638.39,12,0.091,
7-107-33320-5,4429890,2002-07-05,CRÉDITO,CERRADA,31527.6,24,0.063,
6-101-83114-8,2268624,2004-02-20,CRÉDITO,ACTIVA,96020.57,6,0.039,
5-102-80664-2,5073999,2014-05-16,CRÉDITO,CERRADA,40994.37,12,0.056,
2-101-61508-4,2829585,2017-12-09,CRÉDITO,CERRADA,81011.28,12,0.027,
5-109-16251-4,2987707,2016-08-01,AHORRO,ACTIVA,92219.02,0,0.017,
8-107-84478-6,2771267,2007-11-07,AHORRO,INACTIVA,83902.54,0,0.022,
1-102-97733-8,3102089,2018-02-15,CRÉDITO,CERRADA,31790.66,0,0.057,
2-107-82077-3,2225431,2022-08-08,CRÉDITO,INACTIVA,37764.66,0,0.112,
5-103-40154-6,5261212,2020-03-05,AHORRO,INACTIVA,76501.66,0,0.101,
7-108-43156-9,3141313,2014-08-08,APORTE,ACTIVA,2713.39,0,0.093,
4-109-40215-9,4211193,2016-03-27,APORTE,INACTIVA,51305.86,12,0.088,
5-103-99832-4,3668443,2013-08-18,APORTE,INACTIVA,15039.97,12,0.114,
6-109-84073-9,5805204,2019-03-16,AHORRO,INACTIVA,3155.41,12,0.117,
2-102-91148-7,4095127,2020-04-07,AHORRO,INACTIVA,28479.15,0,0.065,
6-107-51365-6,5421384,2008-05-17,AHORRO,INACTIVA,21244.1,6,0.028,
1-107-32553-5,3286649,2009-04-01,CRÉDITO,ACTIVA,58615.9,12,0.065,
3-104-12956-4,2988111,2023-08-02,CRÉDITO,CERRADA,36369.2,0,0.042,
6-106-86249-5,4799289,2020-04-09,CRÉDITO,INACTIVA,9849.18,36,0.097,
2-102-53974-4,2245367,2015-09-30,CRÉDITO,INACTIVA,25850.32,36,0.117,
5-107-53490-7,3392167,2010-04-22,AHORRO,ACTIVA,31687.64,36,0.081,
4-105-63407-6,4058336,2008-02-10,AHORRO,INACTIVA,45285.88,6,0.102,
3-107-18081-5,5461250,2005-08-30,AHORRO,INACTIVA,1323.76,0,0.052,
7-107-81763-7,4603870,2011-02-07,CRÉDITO,INACTIVA,38881.74,12,0.114,
5-103-10683-4,2566417,2012-01-19,AHORRO,CERRADA,71084.8,12,0.011,
1-107-95711-7,3761734,2021-06-19,APORTE,INACTIVA,74708.11,6,0.068,
8-109-13171-7,3492946,2007-09-16,AHORRO,INACTIVA,56855.21,0,0.014,
7-106-25870-2,4498337,2014-03-03,APORTE,INACTIVA,74549.35,12,0.055,
2-102-89880-3,2114911,2005-06-23,APORTE,ACTIVA,77080.32,12,0.046,
1-102-26745-6,4253635,2019-06-08,CRÉDITO,ACTIVA,91194.03,12,0.078,
1-108-74754-2,4565201,2016-03-29,CRÉDITO,ACTIVA,75488.24,0,0.1,
8-105-36395-1,2222158,2009-10-25,APORTE,ACTIVA,80970.99,36,0.015,
1-108-48797-5,4646254,2017-12-12,CRÉDITO,CERRADA,94542.48,24,0.066,
3-100-17580-9,2066874,2018-03-18,APORTE,INACTIVA,84126.72,36,0.045,
2-105-18492-7,4416790,2002-07-25,CRÉDITO,INACTIVA,49094.86,24,0.082,
4-103-34424-5,5219465,2020-04-17,APORTE,INACTIVA,61251.0,12,0.047,
1-108-32583-4,5750748,2015-12-16,AHORRO,CERRADA,69963.34,6,0.101,
5-101-29526-6,3323027,2007-06-15,CRÉDITO,CERRADA,64073.99,12,0.053,
8-109-13529-2,4113142,2021-10-21,AHORRO,ACTIVA,7190.53,36,0.05,
7-101-84640-6,4555886,2016-08-16,CRÉDITO,INACTIVA,54658.58,12,0.043,
9-104-90330-4,2650148,2021-03-01,AHORRO,ACTIVA,95078.66,12,0.068,
9-108-90634-8,3155469,2015-10-03,APORTE,INACTIVA,85131.14,36,0.092,
4-101-87165-9,4393692,2015-01-12,CRÉDITO,CERRADA,48318.76,0,0.067,
5-106-11353-8,2521857,2022-03-30,APORTE,ACTIVA,49379.19,0,0.025,
9-109-31121-7,3292473,2000-07-31,AHORRO,ACTIVA,80048.4,12,0.028,
8-103-76857-6,5359753,2023-08-10,CRÉDITO,CERRADA,67376.15,12,0.06,
8-105-96261-4,3228537,2002-08-14,APORTE,ACTIVA,70365.18,24,0.098,
4-101-23174-9,2100970,2009-01-11,AHORRO,ACTIVA,14802.72,24,0.077,
1-100-12843-7,3509927,2006-09-21,CRÉDITO,INACTIVA,84955.58,6,0.029,
2-102-60069-5,4332369,2015-08-19,APORTE,ACTIVA,97720.84,24,0.026,
1-107-36870-9,2929012,2018-12-05,CRÉDITO,INACTIVA,90765.94,0,0.016,
5-100-70361-2,4043468,2001-10-01,APORTE,INACTIVA,61196.3,12,0.064,
6-101-93680-2,3892019,2010-08-12,AHORRO,ACTIVA,80785.73,12,0.07,
2-108-14016-5,4398037,2011-10-14,CRÉDITO,INACTIVA,50448.89,0,0.054,
5-101-85052-5,2888962,2021-03-30,APORTE,CERRADA,93898.69,36,0.113,
3-109-13426-2,2291986,2012-12-16,AHORRO,ACTIVA,31102.41,6,0.016,
2-102-57664-5,5274897,2019-11-15,APORTE,INACTIVA,69843.64,6,0.045,
4-104-65323-5,3795073,2000-08-31,AHORRO,CERRADA,67011.71,0,0.034,
7-102-34761-8,5375196,2015-06-11,AHORRO,ACTIVA,65508.15,0,0.077,
1-101-11341-4,3228691,2004-01-30,APORTE,CERRADA,75895.48,12,0.025,
3-109-92208-2,2029863,2007-10-26,CRÉDITO,CERRADA,72372.05,0,0.072,
6-107-60696-9,5374601,2019-01-09,APORTE,INACTIVA,28939.42,0,0.036,
8-106-20487-8,2579382,2017-04-21,AHORRO,INACTIVA,15459.29,12,0.021,
7-106-64452-5,4860259,2013-10-07,AHORRO,CERRADA,37996.05,12,0.117,
4-104-29835-1,3258930,2015-01-27,APORTE,INACTIVA,88296.16,0,0.097,
6-102-94090-7,4708565,2016-05-05,AHORRO,ACTIVA,46521.7,6,0.075,
9-101-27207-7,4245897,2002-08-25,CRÉDITO,ACTIVA,13471.21,0,0.018,
2-104-97716-1,2268594,2005-04-16,CRÉDITO,INACTIVA,55952.7,0,0.086,
6-103-41797-7,5434312,2019-06-21,CRÉDITO,CERRADA,45374.07,6,0.091,
8-101-77843-5,3863770,2017-06-18,AHORRO,ACTIVA,21081.12,24,0.065,
3-103-39286-7,2162307,2000-01-18,APORTE,INACTIVA,95308.73,24,0.109,
6-103-42814-5,2738269,2007-03-29,CRÉDITO,ACTIVA,55033.57,0,0.04,
9-101-85393-1,3342091,2023-10-15,APORTE,CERRADA,95147.97,0,0.03,
4-100-92983-3,4160819,2012-08-16,CRÉDITO,ACTIVA,63934.01,36,0.016,
6-103-24009-1,5308286,2021-01-12,APORTE,ACTIVA,57258.72,12,0.033,
8-104-95087-7,5506902,2005-04-16,APORTE,INACTIVA,23301.89,12,0.017,
8-105-60415-5,5063253,2004-03-14,AHORRO,ACTIVA,69582.53,36,0.047,
5-101-30096-2,3289044,2003-04-08,CRÉDITO,INACTIVA,98388.42,6,0.028,
2-100-88017-5,2893704,2003-01-18,CRÉDITO,CERRADA,98492.17,12,0.091,
7-105-34035-9,2370338,2007-04-22,AHORRO,ACTIVA,48617.09,0,0.011,
7-106-16525-9,2372345,2009-05-12,AHORRO,CERRADA,4946.91,24,0.085,
5-108-43854-1,4998758,2004-10-11,AHORRO,ACTIVA,66670.29,6,0.076,
5-101-29915-7,2232533,2020-10-13,CRÉDITO,INACTIVA,84195.27,6,0.103,
2-109-59379-5,5780070,2008-08-31,CRÉDITO,ACTIVA,24040.54,36,0.047,
6-109-75404-3,2619874,2007-11-25,CRÉDITO,ACTIVA,83479.9,36,0.028,
7-100-38022-8,3404502,2007-10-25,APORTE,ACTIVA,15459.89,36,0.042,
1-102-88328-2,3495818,2007-10-20,APORTE,INACTIVA,17361.59,24,0.057,
3-101-81858-1,5816831,2000-01-16,CRÉDITO,INACTIVA,34949.14,24,0.031,
2-101-55488-4,2115931,2001-04-11,CRÉDITO,ACTIVA,71778.31,0,0.049,
6-101-45227-4,3054478,2023-09-12,AHORRO,ACTIVA,65214.11,0,0.072,
1-106-36664-6,5470842,2023-12-29,AHORRO,ACTIVA,15951.7,0,0.031,
9-104-59874-3,5985837,2008-07-20,CRÉDITO,INACTIVA,6829.48,0,0.016,
8-100-17648-3,3835941,2003-02-09,CRÉDITO,INACTIVA,29712.16,0,0.078,
8-109-20621-7,2043589,2012-06-08,AHORRO,ACTIVA,19774.62,36,0.013,
2-103-81395-5,3773657,2018-09-21,CRÉDITO,CERRADA,75834.83,24,0.04,
3-105-68817-7,4078933,2007-06-18,CRÉDITO,ACTIVA,42003.71,36,0.084,
6-102-14318-8,4383508,2013-12-19,CRÉDITO,INACTIVA,80004.23,12,0.012,
5-100-74155-5,2040249,2004-05-18,APORTE,ACTIVA,16361.97,12,0.03,
4-107-96969-9,3685814,2017-06-14,AHORRO,INACTIVA,813.8,12,0.042,
8-109-26723-8,5023503,2014-08-22,APORTE,CERRADA,67747.21,36,0.119,
1-105-49513-8,2453242,2013-10-25,CRÉDITO,CERRADA,25533.85,0,0.037,
1-108-14713-4,3946779,2006-04-14,AHORRO,CERRADA,45769.08,12,0.062,
9-109-44550-1,5597984,2015-09-12,APORTE,INACTIVA,51341.44,6,0.031,
3-106-63546-4,5728936,2017-07-24,AHORRO,INACTIVA,86827.47,12,0.037,
4-101-36451-5,5305083,2005-02-14,AHORRO,INACTIVA,43568.87,6,0.084,
3-109-57739-8,3366054,2021-09-16,AHORRO,ACTIVA,45028.11,36,0.076,
3-107-86103-5,5595024,2020-02-12,AHORRO,INACTIVA,83542.36,6,0.114,
7-104-65651-3,4941098,2017-06-17,APORTE,INACTIVA,14149.2,0,0.108,
9-108-80716-6,3500043,2000-12-25,CRÉDITO,CERRADA,51823.13,12,0.073,
7-107-21548-9,5247333,2004-12-02,AHORRO,CERRADA,73957.28,36,0.057,
9-107-85277-8,3415486,2022-05-27,APORTE,INACTIVA,89976.77,0,0.091,
9-107-14550-3,2881303,2001-01-03,APORTE,CERRADA,43459.56,6,0.029,
9-103-93443-3,2401733,2015-12-21,APORTE,INACTIVA,77406.61,12,0.105,
9-106-40141-6,5282094,2002-10-19,APORTE,ACTIVA,22274.41,36,0.032,
8-102-28077-4,4694985,2011-10-09,CRÉDITO,CERRADA,21798.36,36,0.023,
4-105-91030-2,3514497,2012-01-09,AHORRO,CERRADA,74780.41,6,0.052,
2-108-30873-3,4083645,2005-10-04,APORTE,INACTIVA,47366.38,12,0.105,
2-106-38397-9,4994778,2016-11-13,AHORRO,ACTIVA,96259.31,12,0.014,
1-106-15418-9,4258299,2017-11-05,CRÉDITO,ACTIVA,2019.46,0,0.029,
5-107-72194-5,3255093,2019-04-18,CRÉDITO,INACTIVA,25094.67,6,0.097,
7-101-64942-2,5896575,2011-05-26,APORTE,ACTIVA,9752.06,12,0.017,
5-102-86817-7,4695868,2014-06-30,CRÉDITO,ACTIVA,34275.09,36,0.031,
6-109-63620-5,2443113,2011-04-07,CRÉDITO,INACTIVA,28765.05,24,0.014,
6-101-11222-6,3695802,2016-09-23,AHORRO,ACTIVA,38624.18,36,0.033,
7-102-47784-2,2314553,2001-11-05,AHORRO,INACTIVA,63962.99,12,0.013,
7-106-71907-8,5395811,2007-11-16,AHORRO,INACTIVA,26806.17,24,0.105,
5-102-95966-2,3397988,2003-04-06,APORTE,ACTIVA,16633.11,24,0.019,
9-107-69921-2,5791900,2003-10-27,AHORRO,ACTIVA,27357.95,24,0.059,
6-104-44629-3,2186594,2021-04-13,APORTE,INACTIVA,87394.06,0,0.054,
4-102-77835-6,5434214,2008-07-24,CRÉDITO,INACTIVA,31421.64,36,0.047,
5-109-97092-5,3747599,2016-04-09,CRÉDITO,INACTIVA,44792.46,12,0.097,
8-105-88572-6,3432323,2016-08-06,CRÉDITO,CERRADA,39417.55,0,0.033,
1-103-40094-6,3768520,2013-02-08,APORTE,CERRADA,12788.78,0,0.058,
6-108-44490-5,4971102,2023-11-27,AHORRO,CERRADA,24773.19,12,0.056,
4-103-38482-9,2385545,2021-09-19,AHORRO,ACTIVA,74347.08,24,0.073,
4-102-86730-8,3298106,2002-03-12,AHORRO,CERRADA,91415.61,0,0.086,
8-105-45412-6,4004651,2020-04-05,AHORRO,ACTIVA,48853.6,36,0.019,
4-108-93066-6,2085165,2015-02-01,APORTE,CERRADA,57149.01,6,0.03,
3-106-76645-1,5872543,2023-10-23,CRÉDITO,INACTIVA,43574.78,12,0.021,
2-105-45742-1,3459688,2002-04-18,CRÉDITO,ACTIVA,66807.52,24,0.037,
8-103-72208-1,5623178,2018-03-17,APORTE,CERRADA,20043.3,0,0.049,
9-101-31589-3,2686007,2017-12-03,AHORRO,INACTIVA,69749.97,24,0.018,
2-104-46074-3,2888837,2009-03-16,APORTE,CERRADA,64103.01,12,0.019,
4-105-59987-8,3429458,2000-02-06,CRÉDITO,ACTIVA,52200.64,36,0.118,
1-104-54927-7,4437411,2009-11-17,AHORRO,INACTIVA,76477.92,0,0.037,
4-102-91699-4,3007275,2023-06-26,APORTE,CERRADA,32847.96,6,0.051,
3-109-91830-9,3395820,2023-09-07,CRÉDITO,CERRADA,62722.71,0,0.109,
4-107-72220-6,4727073,2001-08-03,CRÉDITO,INACTIVA,25245.92,0,0.109,
9-107-18765-9,3165646,2007-04-26,APORTE,CERRADA,30871.67,0,0.071,
5-109-11849-6,3010755,2022-04-10,CRÉDITO,CERRADA,97717.72,24,0.109,
6-107-50649-7,4305434,2015-11-19,CRÉDITO,INACTIVA,58535.48,12,0.063,
4-107-43422-6,2258031,2014-08-05,AHORRO,INACTIVA,56006.54,24,0.079,
8-100-79725-2,3443448,2020-12-17,CRÉDITO,ACTIVA,25673.28,0,0.015,
6-103-29002-7,5793811,2017-07-03,CRÉDITO,INACTIVA,9922.89,36,0.049,
1-104-37062-6,4320264,2005-11-15,APORTE,INACTIVA,4058.58,6,0.063,
5-109-73370-2,5759201,2019-12-06,APORTE,ACTIVA,46980.0,0,0.02,
9-104-79026-9,4047080,2000-04-22,CRÉDITO,ACTIVA,85166.67,0,0.031,
6-108-25135-8,4376968,2013-07-23,AHORRO,CERRADA,87395.08,0,0.053,
1-101-67313-1,4253041,2002-06-23,AHORRO,ACTIVA,7585.44,6,0.037,
3-106-49270-3,2768550,2023-04-15,APORTE,INACTIVA,29812.94,0,0.063,
8-101-78454-3,2734048,2011-11-23,CRÉDITO,INACTIVA,43607.84,36,0.019,
3-106-28561-2,3219701,2002-03-10,CRÉDITO,ACTIVA,50463.04,24,0.107,
7-101-55536-4,4572567,2006-03-15,AHORRO,CERRADA,83075.85,12,0.12,
8-105-82085-4,5292860,2021-09-06,CRÉDITO,INACTIVA,22486.26,12,0.076,
6-103-71904-5,2597526,2004-03-23,AHORRO,CERRADA,45488.08,24,0.098,
6-107-96481-6,5174310,2016-12-04,AHORRO,INACTIVA,36371.91,0,0.028,
8-100-10052-4,5072449,2008-10-19,CRÉDITO,INACTIVA,59266.54,6,0.029,
8-100-88922-9,5129933,2011-11-22,AHORRO,INACTIVA,59073.09,36,0.113,
8-100-31378-1,3835466,2023-05-22,AHORRO,CERRADA,4654.78,36,0.016,
9-109-87108-5,4682316,2004-04-30,APORTE,INACTIVA,43514.2,6,0.085,
4-109-48088-4,2062662,2011-12-10,APORTE,INACTIVA,35394.8,0,0.081,
5-105-41803-7,2971741,2001-10-10,AHORRO,INACTIVA,8725.91,12,0.063,
5-102-57363-3,4910951,2010-04-05,CRÉDITO,ACTIVA,72561.34,6,0.089,
6-102-54437-7,3750282,2001-03-25,AHORRO,CERRADA,73480.83,12,0.045,
1-102-10277-2,3179301,2009-02-25,CRÉDITO,INACTIVA,6615.05,6,0.043,
5-107-30309-3,3616494,2012-09-22,CRÉDITO,INACTIVA,35271.01,6,0.094,
8-101-98117-4,5601340,2003-02-20,APORTE,INACTIVA,88021.8,6,0.11,
9-100-12032-3,4379384,2005-05-21,APORTE,ACTIVA,64565.69,24,0.087,
2-106-36929-8,5868390,2004-05-26,CRÉDITO,CERRADA,10111.91,0,0.073,
9-101-62091-8,4950971,2020-08-05,CRÉDITO,INACTIVA,37110.19,6,0.07,
3-103-15327-4,5382118,2021-10-15,AHORRO,ACTIVA,94761.39,24,0.109,
1-104-24318-1,3434950,2013-06-05,CRÉDITO,CERRADA,14168.04,12,0.011,
8-102-36941-1,3257494,2004-03-25,CRÉDITO,INACTIVA,80369.91,6,0.035,
4-101-77701-4,4385331,2009-08-16,APORTE,CERRADA,88504.31,6,0.095,
1-101-41249-5,2324581,2012-05-14,AHORRO,ACTIVA,84281.38,6,0.056,
4-106-34301-5,3455594,2021-05-17,APORTE,ACTIVA,84862.3,12,0.095,
5-107-92048-2,5848287,2023-09-01,CRÉDITO,CERRADA,3416.27,12,0.083,
5-109-14539-5,2253219,2017-02-15,APORTE,INACTIVA,95126.0,24,0.018,
2-108-11042-1,3684589,2017-07-08,APORTE,ACTIVA,39293.5,24,0.051,
9-106-28619-9,3275111,2015-06-05,CRÉDITO,ACTIVA,60679.11,6,0.011,
4-103-75748-2,2084634,2014-03-03,APORTE,ACTIVA,46644.4,12,0.082,
4-102-58719-2,4304997,2014-08-21,APORTE,CERRADA,66567.52,6,0.064,
3-109-26265-7,3538006,2022-06-24,CRÉDITO,CERRADA,24894.94,36,0.106,
8-108-81874-5,5886852,2007-06-11,APORTE,CERRADA,53843.48,6,0.055,
7-107-13695-1,5048476,2009-11-29,APORTE,CERRADA,56405.76,24,0.017,
5-103-99643-8,3804629,2021-08-08,AHORRO,INACTIVA,35043.04,6,0.103,
8-106-67205-6,5778484,2010-09-19,CRÉDITO,CERRADA,58561.06,36,0.098,
3-109-12917-5,2373785,2020-09-11,AHORRO,CERRADA,34770.53,0,0.044,
5-108-23800-4,5232513,2014-04-15,CRÉDITO,INACTIVA,60035.53,12,0.058,
4-101-13829-2,5206377,2003-12-14,AHORRO,CERRADA,80793.14,6,0.051,
7-102-28202-2,3896099,2000-10-18,CRÉDITO,INACTIVA,65363.3,6,0.111,
7-107-58729-8,3568601,2014-11-05,APORTE,INACTIVA,13756.51,24,0.013,
1-109-44159-2,2347237,2022-02-26,CRÉDITO,CERRADA,73284.3,36,0.09,
8-109-82678-5,2109555,2000-12-02,AHORRO,CERRADA,37201.27,36,0.045,
3-103-21748-8,3129955,2021-05-22,APORTE,INACTIVA,23588.02,24,0.102,
2-102-25945-1,4329406,2001-09-15,APORTE,ACTIVA,66013.9,36,0.059,
4-106-89568-9,4387402,2011-10-04,AHORRO,CERRADA,89773.79,24,0.095,
9-109-82432-1,4250066,2001-09-28,APORTE,ACTIVA,93399.72,12,0.044,
3-102-69186-4,2850652,2000-11-02,AHORRO,INACTIVA,31645.0,12,0.077,
2-106-60835-3,5180094,2003-08-28,AHORRO,CERRADA,17464.98,12,0.115,
6-103-19818-5,3036340,2008-07-11,CRÉDITO,CERRADA,74807.57,24,0.117,
6-100-99618-3,3835438,2019-09-18,CRÉDITO,CERRADA,49410.46,12,0.11,
1-107-12406-5,5940751,2009-05-12,AHORRO,INACTIVA,75300.41,12,0.019,
6-102-72903-9,3556817,2016-03-04,AHORRO,INACTIVA,86821.42,12,0.065,
2-108-94489-5,5300002,2005-05-20,AHORRO,INACTIVA,19063.34,36,0.024,
3-109-17065-5,2288114,2020-08-03,AHORRO,INACTIVA,71554.85,0,0.061,
4-109-60854-5,3063066,2004-08-22,AHORRO,ACTIVA,27795.83,6,0.099,
4-105-54901-2,4552317,2021-06-01,CRÉDITO,ACTIVA,52962.04,6,0.025,
8-109-97361-8,3878132,2009-05-05,APORTE,ACTIVA,11776.87,12,0.042,
1-109-34255-3,5399688,2003-01-08,APORTE,CERRADA,48283.95,24,0.049,
6-101-94167-3,2026749,2011-08-20,CRÉDITO,CERRADA,63902.56,36,0.087,
2-106-34636-5,3685262,2021-08-05,APORTE,INACTIVA,79179.9,36,0.057,
3-104-12983-7,2510694,2014-01-29,AHORRO,ACTIVA,1972.75,12,0.108,
5-108-62505-5,3187847,2006-01-28,AHORRO,ACTIVA,20508.83,0,0.063,
5-109-36174-3,4147098,2000-12-17,APORTE,CERRADA,91783.18,12,0.032,
9-109-26377-5,5570776,2004-11-25,CRÉDITO,INACTIVA,92025.64,6,0.079,
5-104-81640-6,5806113,2019-09-01,APORTE,INACTIVA,35259.37,6,0.089,
3-109-11866-7,2269775,2002-09-18,AHORRO,CERRADA,66778.97,12,0.078,
1-109-16858-7,4425405,2003-10-27,APORTE,CERRADA,13041.35,24,0.084,
8-101-64494-7,4123608,2010-07-02,AHORRO,CERRADA,51793.16,0,0.038,
5-103-97814-6,3694097,2013-02-26,AHORRO,INACTIVA,40880.1,24,0.053,
3-106-30696-9,5800224,2022-08-23,APORTE,INACTIVA,73480.94,12,0.024,
1-109-64595-6,2729581,2016-05-08,AHORRO,CERRADA,10819.11,6,0.069,
9-103-39748-3,3670757,2022-06-02,AHORRO,CERRADA,93267.03,12,0.117,
1-104-66101-6,4201557,2012-10-29,APORTE,INACTIVA,34672.41,0,0.045,
5-107-45687-3,4156859,2017-07-20,CRÉDITO,INACTIVA,28786.01,6,0.047,
5-107-36736-6,2295973,2019-05-29,CRÉDITO,INACTIVA,35193.47,6,0.071,
3-102-86796-9,3887047,2005-08-25,CRÉDITO,ACTIVA,20841.12,24,0.05,
5-106-19467-6,3925762,2007-12-11,APORTE,ACTIVA,83539.4,6,0.115,
3-102-25524-5,3318071,2009-02-14,APORTE,INACTIVA,47632.35,6,0.108,
7-109-26552-3,3682329,2001-04-25,APORTE,ACTIVA,78298.12,24,0.06,
8-101-30465-7,4834731,2012-08-10,APORTE,CERRADA,12676.6,36,0.019,
4-103-47259-7,2104657,2006-12-05,CRÉDITO,CERRADA,62908.42,6,0.056,
5-102-91125-1,5828886,2021-08-30,CRÉDITO,ACTIVA,15982.71,0,0.039,
7-105-37492-5,5554239,2012-03-26,APORTE,ACTIVA,78161.18,6,0.093,
6-102-40851-2,4671686,2007-07-30,APORTE,ACTIVA,40221.55,36,0.059,
9-100-81382-7,5439789,2000-08-02,APORTE,CERRADA,29306.38,24,0.044,
7-101-36422-6,3675331,2018-10-29,APORTE,INACTIVA,7684.57,0,0.012,
3-100-69603-3,2562779,2002-03-19,CRÉDITO,ACTIVA,17878.28,24,0.025,
4-106-86491-1,2024302,2020-04-11,AHORRO,INACTIVA,22678.96,24,0.036,
9-107-54830-3,5890646,2009-01-07,AHORRO,CERRADA,71361.48,0,0.011,
9-105-21629-1,5816559,2007-02-01,AHORRO,ACTIVA,89396.8,0,0.017,
8-101-39122-6,5234960,2006-05-06,APORTE,ACTIVA,84987.47,6,0.06,
1-102-85341-1,4178851,2022-02-10,CRÉDITO,ACTIVA,54607.57,0,0.057,
7-104-94082-6,2988764,2005-02-14,AHORRO,CERRADA,84981.73,12,0.023,
3-107-63331-2,2127214,2015-01-03,APORTE,INACTIVA,30868.15,36,0.058,
1-105-79936-2,4211559,2021-02-02,APORTE,ACTIVA,6199.37,24,0.062,
1-100-55686-5,2919520,2012-04-16,APORTE,ACTIVA,49050.84,6,0.045,
8-102-92286-7,2359315,2002-05-01,AHORRO,INACTIVA,82412.83,24,0.074,
6-104-72404-8,4397713,2011-05-01,CRÉDITO,CERRADA,78546.78,12,0.05,
8-100-81968-9,2112084,2000-10-19,APORTE,CERRADA,9695.3,12,0.108,
9-106-54843-2,3020361,2002-12-13,AHORRO,CERRADA,53078.41,0,0.059,
9-106-39588-5,4341548,2021-05-16,CRÉDITO,ACTIVA,60281.42,6,0.035,
1-104-52625-5,5606585,2005-04-15,APORTE,INACTIVA,39354.07,24,0.07,
4-108-72785-1,3921985,2005-12-03,APORTE,ACTIVA,35342.48,36,0.021,
1-109-89132-6,3199795,2017-10-29,AHORRO,CERRADA,87409.67,36,0.076,
1-102-54170-9,2488728,2013-07-24,AHORRO,CERRADA,88766.67,24,0.091,
7-107-46715-4,2540470,2015-06-16,AHORRO,ACTIVA,39604.36,24,0.084,
3-107-78975-4,5815126,2019-12-05,CRÉDITO,INACTIVA,1683.88,0,0.09,
1-102-57964-8,3444473,2012-02-15,AHORRO,CERRADA,16795.58,12,0.119,
7-105-40341-4,2424907,2019-06-09,CRÉDITO,CERRADA,79606.63,6,0.044,
5-107-39856-1,3030411,2014-05-20,CRÉDITO,CERRADA,11338.86,6,0.024,
5-102-14594-3,4933382,2019-03-22,CRÉDITO,INACTIVA,50958.83,6,0.021,
9-109-22325-7,3210823,2015-10-15,CRÉDITO,INACTIVA,5628.8,36,0.095,
9-103-53580-7,3719329,2003-06-03,AHORRO,ACTIVA,55200.83,12,0.082,
5-108-84306-7,4967960,2002-01-14,AHORRO,ACTIVA,49097.34,6,0.1,
7-106-86197-6,5657493,2019-02-14,APORTE,ACTIVA,84277.28,36,0.012,
7-108-22478-4,2073789,2006-03-09,AHORRO,INACTIVA,32803.48,0,0.076,
8-106-67246-8,3091246,2015-12-04,APORTE,CERRADA,39392.14,36,0.05,
2-102-38167-7,2543261,2014-03-22,APORTE,CERRADA,5895.76,36,0.018,
2-105-68123-6,4488981,2013-12-04,CRÉDITO,ACTIVA,32793.1,6,0.07,
9-103-85649-3,4919113,2011-03-06,APORTE,CERRADA,3664.65,36,0.109,
4-107-95411-7,4980457,2014-03-12,APORTE,INACTIVA,10919.1,36,0.085,
6-105-93792-4,5807155,2005-10-19,CRÉDITO,CERRADA,47457.7,0,0.011,
8-104-83133-8,2822209,2008-10-23,APORTE,CERRADA,30216.86,6,0.022,
2-109-32769-8,2224083,2014-09-08,AHORRO,ACTIVA,97058.53,6,0.03,
4-102-64270-6,4189603,2017-05-11,APORTE,CERRADA,63316.38,0,0.052,
1-104-15804-6,3075288,2020-02-07,APORTE,INACTIVA,5135.18,24,0.08,
1-100-71235-4,5653763,2005-12-17,APORTE,ACTIVA,63.17,36,0.069,
4-101-61780-4,2150802,2010-09-07,APORTE,INACTIVA,18353.79,6,0.087,
2-101-65708-6,3190246,2018-05-02,APORTE,ACTIVA,10787.1,12,0.098,
9-101-87680-1,5987748,2023-02-01,CRÉDITO,ACTIVA,72329.98,36,0.118,
3-108-29032-7,5680929,2001-04-13,CRÉDITO,INACTIVA,73501.65,0,0.089,
5-101-46445-1,4239639,2013-10-15,AHORRO,ACTIVA,64231.25,12,0.047,
6-103-39012-8,2801948,2000-05-29,CRÉDITO,INACTIVA,43937.37,12,0.088,
9-101-70409-6,3903435,2010-12-28,CRÉDITO,INACTIVA,23791.11,6,0.034,
1-102-31601-7,3677445,2022-04-12,APORTE,CERRADA,53961.49,24,0.061,
6-105-98823-4,2504717,2006-08-16,APORTE,ACTIVA,58023.5,24,0.1,
3-107-52795-3,5721217,2009-08-31,APORTE,CERRADA,22975.78,36,0.069,
